Latitude;Longitude;Name of Spot;Name of Spotfinder;Height to water;Freetext;Link to images of the Spot
47.352537;8.552016;Tinguely Dock Zürich;zdavatz;About 50 cm depending on status of the lake.;no ladder to climb out.;https://www.instagram.com/p/C8r9yXPqZGv/, https://www.instagram.com/p/C8sH-n2q6Hw/
47.127958;7.233352;Barkenhafen Dock;zooosky;Pumpfoil ramp 50 cm over water mounted to the dock.;The spot is near the restaurant Le Peniche in Biel.;https://images2.imgbox.com/20/ab/ut4CFllz_o.jpg
47.340939;8.538847;Cassiopeiasteg Ecke;zdavatz;About 50 cm over the water.; Easy to climb out. Good for Goofy and Regular;https://www.instagram.com/reel/CPIpCFojcuz/
46.454726;9.793014;Silvaplana Camping Dockstart Dock;zdavatz;About 40cm over the water.;Good for Goofy and Regular, very popular;https://www.instagram.com/p/CxBkhkDq1QT/
47.333582;8.570908;Altersheim Zollikon;zdavatz;Not ideal for pumpfoiling.;Good for SUPfoil and Wingfoil practice.;https://www.instagram.com/p/CysgnsoKXs1/
47.356668;8.54868;Hafen Riesbach;zdavatz;Max 20cm über dem Wasser. Drop von der Hafenmauer ist cool;Gut für Goofy und Regular.;https://www.instagram.com/reel/Cz-r559qdVT/, https://www.instagram.com/p/Cz8_3GwKdOH/
47.341449;8.538327;Floss Strandbad Wollishofen;zdavatz;40cm über dem Wasser.;Nur für Hauptsaison (Winter) offen für die Öffentlichkeit. Während dem Badibetrieb ist ASVZ Schulung morgens von 7-9 Uhr;https://www.instagram.com/p/Cy-yeAZtlrp/
47.322413;8.57671;Hermitage Küsnacht;zdavatz;50cm über dem Wasser.;Hier gibt es Fischer. Gute Welle von den Kursschiffen, guter Hafen zum Tricks üben.;https://www.instagram.com/p/C0WtaAnK6Om/
47.349847;8.560492;Schiffsteg Bahnhof Tiefenbrunnen;zdavatz;60cm über dem Wasser.;Achtung Kursschiffe.;https://www.instagram.com/reel/C4vWxdJqFhO/
47.352408;8.554436;Park Tiefenbrunnen;zdavatz;20 cm über Wasser.;Der Ursprung von Pump Tsüri. Nur in der Hauptsaison (Winter), nach dem offiziellen Badebetrieb.;https://www.instagram.com/p/C5dTeoPKrrG/
47.275178;8.582999;INDIANA Showroom Oberrieden;zdavatz;30 cm über Wasser.;Am Donnerstag Nachmittag kann man Material mieten. Goofy und Regular.;https://www.instagram.com/reel/C5puupIKwJ1/
47.305998;8.587855;Ruderclub Erlenbach;zdavatz;15 cm über Wasser.;Gerry Gearloose hat seinen Shop hier. Gut zum Material testen.;https://www.instagram.com/p/C7a26EXKT5v/
47.266584;8.649236;Foilclub Zürichsee;zdavatz;20-40cm über Wasser.;Hier kann man Mitglied werden. Gut zum täglich üben.;https://www.instagram.com/p/C79YoCzK0iv/
47.328917;8.572759;Chickendock;zdavatz;50cm über Wasser.;Immer sehr viele Leute (Taucher, Schwimmer, Pumper). Dock hat zwei Leitern.;https://www.instagram.com/p/C_IvVANKor_/
47.294279;8.597873;Marienhalde;zdavatz;60cm über Wasser.;Der Dock ist eher hoch. Gut zum Dropstarten. Es gibt eine Leiter und eine Dusche und ein WC.;https://www.instagram.com/reel/CtopO-TqYuJ/
47.346058;8.563729;KIBAG Tiefenbrunnen;zdavatz;15-20cm über Wasser.;Gut für Beachstart, Sidestart und Frogstart.;https://www.instagram.com/p/Cl8W6Jbqdwp/
47.384882;8.536355;Letten Steg;zdavatz;25-35cm über Wasser - je nach Flusshöhe.;Gut für regular Sidestart.;https://www.instagram.com/p/COhzth3jq6O/
36.908474;27.264526;Blue Lagoon Dock Kos;lkoeppel;20-30cm über dem Wasser;Alle Starts möglich;https://pump.zuerich/wp-content/uploads/2024/10/kos_dockstart.jpeg
